FeatureID,X,Y,Elevation
0,292182.1341,9105647.632,6.9017
1,292278.2603,9105620.068,7.2603
2,292374.3864,9105592.505,6.7481
3,292470.5126,9105564.941,6.4253
4,292566.6388,9105537.377,6.8561
5,292662.7649,9105509.814,6.1724
6,292758.8911,9105482.25,6.4142
7,292855.0173,9105454.686,6.2244
8,292951.1434,9105427.122,6.1246
9,293047.2696,9105399.559,6.0469
10,293143.3958,9105371.995,4.1981
11,292154.5703,9105551.506,4.4687
12,292250.6965,9105523.942,1.7385
13,292346.8227,9105496.379,1.5397
14,292442.9489,9105468.815,-0.096906
15,292539.075,9105441.251,-0.75205
16,292635.2012,9105413.687,-0.90987
17,292731.3274,9105386.124,-1
18,292827.4535,9105358.56,-1
19,292923.5797,9105330.996,-1.0004
20,293019.7059,9105303.432,-1
21,293115.832,9105275.869,-1
22,292127.0066,9105455.38,6.6969
23,292223.1328,9105427.816,6.7893
24,292319.259,9105400.252,6.5741
25,292415.3851,9105372.689,6.2335
26,292511.5113,9105345.125,5.4209
27,292607.6375,9105317.561,3.2042
28,292703.7636,9105289.997,1.9272
29,292799.8898,9105262.434,0.70659
30,292896.016,9105234.87,-0.99366
31,292992.1421,9105207.306,-1.0003
32,293088.2683,9105179.743,-1
33,292099.4429,9105359.254,6.9998
34,292195.569,9105331.69,6.7063
35,292291.6952,9105304.126,6.4774
36,292387.8214,9105276.562,6.1822
37,292483.9476,9105248.999,4.8265
38,292580.0737,9105221.435,3.4427
39,292676.1999,9105193.871,1.8732
40,292772.3261,9105166.308,0.75057
41,292868.4522,9105138.744,-0.99109
42,292964.5784,9105111.18,-1.0038
43,293060.7046,9105083.616,-1.1545
44,292071.8791,9105263.128,7.0663
45,292168.0053,9105235.564,7.5782
46,292264.1315,9105208,7.9304
47,292360.2577,9105180.436,7.7932
48,292456.3838,9105152.873,6.2884
49,292552.51,9105125.309,3.4365
50,292648.6362,9105097.745,0.80409
51,292744.7623,9105070.181,-0.46346
52,292840.8885,9105042.618,-1
53,292937.0147,9105015.054,-1.0041
54,293033.1408,9104987.49,-1.0052
55,292044.3154,9105167.001,6.2788
56,292140.4416,9105139.438,6.7465
57,292236.5677,9105111.874,8.082
58,292344.121,9105063.695,8.3192
59,292428.8201,9105056.746,5.274
60,292524.9463,9105029.183,2.8306
61,292621.0724,9105001.619,0.55242
62,292717.1986,9104974.055,-0.78975
63,292813.3248,9104946.491,-1
64,292909.4509,9104918.928,-1.0062
65,293005.5771,9104891.364,-1
66,292016.7517,9105070.875,6.7801
67,292112.8778,9105043.311,7.4194
68,292209.004,9105015.748,8.1075
69,292305.1302,9104988.184,8.6015
70,292401.2564,9104960.62,7.0474
71,292497.3825,9104933.057,3.6408
72,292593.5087,9104905.493,1.7059
73,292689.6349,9104877.929,-0.68184
74,292785.761,9104850.365,-1
75,292881.8872,9104822.802,-1.0057
76,292978.0134,9104795.238,-1
77,291989.1879,9104974.749,7.1612
78,292085.3141,9104947.185,7.4288
79,292181.4403,9104919.622,9.0274
80,292277.5664,9104892.058,9.8233
81,292373.6926,9104864.494,9.788
82,292469.8188,9104836.93,8.0931
83,292565.945,9104809.367,2.9032
84,292662.0711,9104781.803,-0.90804
85,292758.1973,9104754.239,-1
86,292854.3235,9104726.675,-1.0055
87,292950.4496,9104699.112,-1
88,291961.6242,9104878.623,6.7598
89,292057.7504,9104851.059,7.7651
90,292153.8765,9104823.495,8.7574
91,292250.0027,9104795.932,8.8111
92,292346.1289,9104768.368,6.9783
93,292442.255,9104740.804,4.9377
94,292538.3812,9104713.24,2.1422
95,292634.5074,9104685.677,-0.77654
96,292730.6336,9104658.113,-1
97,292826.7597,9104630.549,-1.004
98,292922.8859,9104602.985,-1
99,291934.0605,9104782.497,7.1305
100,292030.1866,9104754.933,7.6937
101,292126.3128,9104727.369,8.1161
102,292222.439,9104699.805,6.5589
103,292318.5651,9104672.242,5.7334
104,292414.6913,9104644.678,3.3377
105,292510.8175,9104617.114,0.63882
106,292606.9437,9104589.551,-0.69252
107,292703.0698,9104561.987,-0.82272
108,292799.196,9104534.423,-1.0025
109,292895.3222,9104506.859,-1.001
110,291906.4967,9104686.371,6.8421
111,292002.6229,9104658.807,7.6629
112,292098.7491,9104631.243,8.3695
113,292194.8752,9104603.679,8.7769
114,292291.0014,9104576.116,5.9656
115,292387.1276,9104548.552,2.8272
116,292483.2537,9104520.988,0.60536
117,292579.3799,9104493.424,-0.81681
118,292675.5061,9104465.861,-0.93333
119,292771.6323,9104438.297,-1.0018
120,292867.7584,9104410.733,-1.1009
121,291878.933,9104590.244,6.526
122,291975.0592,9104562.681,6.8715
123,292071.1853,9104535.117,7.4484
124,292167.3115,9104507.553,6.0902
125,292263.4377,9104479.989,4.4358
126,292359.5638,9104452.426,2.0676
127,292455.69,9104424.862,0.089594
128,292551.8162,9104397.298,-0.79186
129,292647.9424,9104369.734,-0.94894
130,292744.0685,9104342.171,-1.0022
